GYM Name,Address,Area,City,State,Phone Number,Timings,Map Link
Easy Burn,"Ellis Bridge, Ahmedabad","Ellis Bridge, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.022505,72.571362"
B1 Crossfit,"Ellis Bridge, Ahmedabad","Ellis Bridge, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.022505,72.5713621"
C.N Ethletic Acadamy,"Ellis Bridge, Ahmedabad","Ellis Bridge, Ahmedabad",Ahmedabad,Gujarat,N/A,N/A,"https://www.google.com/maps/search/?api=1&query=23.022505,72.5713621"
Yhai Ahmedabad,"Ellis Bridge, Ahmedabad","Ellis Bridge, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.022505,72.5713621"
Namah Merchandise Private Limited,"Ellis Bridge, Ahmedabad","Ellis Bridge, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.0225065,72.5713162"
Sahil Davda,"Ellis Bridge, Ahmedabad","Ellis Bridge, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.0221184,72.5698042"
U C O Bank Regional Training Centre,"Khanpur, Ahmedabad","Khanpur, Ahmedabad",Ahmedabad,Gujarat,N/A,N/A,"https://www.google.com/maps/search/?api=1&query=23.0245257,72.5720472"
Yhai,"Lal Darwaja, Ahmedabad","Lal Darwaja, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.0248553,72.5725842"
Anytime Fitness,"Lal Darwaja, Ahmedabad","Lal Darwaja, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.0265926,72.5728292"
Vo2 + Fitness,"Khanpur, Ahmedabad","Khanpur, Ahmedabad",Ahmedabad,Gujarat,N/A,N/A,"https://www.google.com/maps/search/?api=1&query=23.0272137,72.5717318"
Talwalkars,"Navrangpura, Ahmedabad","Navrangpura, Ahmedabad",Ahmedabad,Gujarat,N/A,N/A,"https://www.google.com/maps/search/?api=1&query=23.045424,72.556496"
Pro Fitness Naroda,"Naroda, Ahmedabad","Naroda, Ahmedabad",Ahmedabad,Gujarat,N/A,N/A,"https://www.google.com/maps/search/?api=1&query=23.05626,72.640402"
Municipal Gym,"Odhav, Ahmedabad","Odhav, Ahmedabad",Ahmedabad,Gujarat,N/A,N/A,"https://www.google.com/maps/search/?api=1&query=23.0294428,72.6532853"
Herbalife Distributor,"Chandkheda, Ahmedabad","Chandkheda, Ahmedabad",Ahmedabad,Gujarat,,N/A,"https://www.google.com/maps/search/?api=1&query=23.1093261,72.5901578"
